,,before,sentence,after,final
52,1453,"* Even after such arbitrary, uncontrolled attainment, these jihadis say that they are oppressed in India.",* ⛳ * Acharya Gyan Prakash Vedic * ⛳ 🏹🇮🇳⛳🔱🌞⚜🐚🕉🙏 ⛳    ⛳  🏹  🇮  🇳  ⛳  🔱  🌞  ⚜  🐚  🕉  🙏,,none
53,1454,"That is why Muslim religious leader Maulana Waheeduddin suggested that * ""Muslims should join the Congress and in future one of them will surely become the Prime Minister of India.""",25.1.194) (Hindu Ta 25.1.194) The objective of Pakistani jihadis is to complete the incomplete program of August 1949 i.e.,to make Kashmir and then the rest of India an Islamic state.,culture
54,1455,"No one can tolerate our pain, we will have to start with our own small parties… they have to face the burden of brokerage (which is the Azim crime) and their disintegration, and they will help the Muslims Will have to settle back, then the one who is among them will rise and raise the flag himself ... After all, how long will he cry for the rest of his life?",Intentar of his loved ones cannot be a justification for itti (lobbying).,"In the same way that in the event of a scatter in your house, you cannot make your neighborhood enemy or your boss the head of your house.",none
55,1456,"There are two types of verses in the Quran, one is Makkan and the other is Madinan… Makkan verses are those which contain the above scriptures of peace, because Mohammad Saab did not have the strength during Mecca!","Madinan verses are those which spread terrorism, in those verses, 24 verses which Delhi High Court declared anti-humanism!","After moving to Medina, Mohammed became a follower of Saab's sister, or the whole gang was formed!",none
56,1457,,* Two groups of students clashed over firing of Owaisi in AMU.,4 rounds of firing took place.,none
57,1458,"Why do you break your brother's account of Hindustan and that of Pakistan, they are intending to increase the Muslim population in India and rule India, which you people do not understand, if you do not understand then read about Gajwa e Hind on the internet.","People are also idiots who support them, they should work for these people, they should also boycott them and remove them from the factories in which these people work, and give them work to the Hindu worker.","Try not to keep trying, for example, Roh Afja ki factory Koi dekh lo Hindus are not kept there at work, but Hindus are fond of snakes, which will bury you soon, if you do not believe then Kashmiri Pandits and West Bengal Ask people of the Hindu but not their Hindu They do injustice to people and encourage these people.",action
58,1459,", The work of the printing press is in their hands, in ancient photographs of Hindu Gods and Goddesses, these Muslims are printing prints by manipulating, turning the trunk of Ganapati in the wrong direction, opening the mouth of Mataji's lion, inverted the mace in Hanumanji's hand.","Hand held, mountains were brought from south to east, but in the picture, they were imprinted while moving towards the south direction, meaning spoiled the architecture of the picture, so that Hindus could not get the fruits of worshiping it, around Hindu temples Settlements were built, mosques and mausoleums were built, many conspiratorial tactics were used.","They have been putting the pictures of wrong architectural defects on the books, putting them in the deception of the Ganga Jamni Tehzeeb, and also putting the photo of Lakshmi Ganeshji with their hands… so that Hindus get the wrong result, burning in the houses of Muslims The means of earning the stove are dependent on the need of the Hindus, they do business with the Hindus to feed their families, then give the same money to the conspiracy Muslim leaders against Hinduism, also the enemy of Hindus The Hindu is himself, if he still does not wake up, then according to his own image, he will print the pictures of God on firecrackers, T-shirts, saris, lehengas, handkerchiefs, bags, bags, crockery etc.",none
59,1460,"You all will remember that if you are not forgotten, then a few months ago AK-47 was removed from the pond of Bihar and from the land, and the mullets were caught ....","These were his plans, and there are many more such plans of terrorists living in these countries.",,culture
60,1461,"When the two brothers fell halfway on the ground, the jihadis climbed on their chest and tortured and cut their breath.","Even after that, the terrorists did not get their heart full, then the big stones of the mill crushed their corpses till their heart was filled.",It was a terrible savage action on which the police and administration had to take action.,oppression
61,1462,Ask your government for a 2-child policy.,They have 303 seats.,Let the mandate not go waste.,none
62,1463,"Kumbhkodam is a very small village in Tamil Nadu, some Muslims come to this village for converting non-Muslims, Ramalingam, a person from the village who belongs to a Dalit family and does catering work, ,,, suddenly arrives here and asks the Muslims to stop the conversion work and leave it.","That is when Muslims start calling him a secular person (Alatakiya) and saying that we are a brotherly person, we are talking about living in equality.","That is why Ramalingam tells those Muslims, if you talk of brotherhood and equality, then why are you getting converted?",none
63,1464,Asura: 8 Import 39: - You fight with those people until they are completely subdued ❌  by Allah.,Asura: 22 Import 30: - Sculptures ❌  are nefarious.,"Asura: 9 Import 5: - After the month of Ramadan, kill ❌  the Muslims wherever they are.",none
64,1465,"His status was shown * * Every year, Delhi used to organize 👹  a fair of Nowros ....!",The entry of men was prohibited in this…!,"* * 7 Sometimes in this fair, the woman used to go in disguise and the 👉 🙏   woman who used to enchant her… took her maids with deceit in front of Akbar.",none
65,1466,"It was Jogendranath Mandal who caused many large parts of Bengal to go to Pakistan, because they had voted for Dalits in these areas in favor of Pakistan at the behest of Jinnah.","In 1972, the Pakistani army in Bangladesh, along with the Jamaat-e-Islami, declared a jihad against 'Kafirs'.",Then millions of Dalits were killed.,none
66,1467,,"Two Muslims in Delhi teased a Hindu Bhumihar girl, Bhumihar is mentioning because Bhumihar has been a warrior caste in history and today it is in this condition, Hindus wrote that we should all see our future, that girl was ill and she Time was with her family.","The father and brother of the girl protested, which was their natural religion.",action
67,1468,#Love_Jehad_Ki_Dardak_Dastan #Pragati Gori-Chitti-Slim-Beautiful 32 year old was a smart woman ... had kept her body very well ... even after giving birth to two daughters of 6 years and a half and more than 26-27 years Did not look old!,"Husband was 38 years old, a teacher in Hrishikant government school… was highly educated… there was satisfaction… happiness was everywhere… but in such a situation, a local taxi driver named # Shahnawaz… became a family.",... Shahnawaz's eye was stuck on the beauty of Pragati ...,none
68,1469,This sinking boat has only one support - Harinam.,"The contemplation of God, inspiration from his qualities and his hymn can only get us across this Bhava Sagar.","When the heat rises too much, there are thick black clouds and torrential rain.",none
69,1470,Thoughts of Shri Ramdev on Article 371.,"Now after these two conflicting statements, it is necessary that Shri Ramdev ji should come forward and clarify his position on this issue in two words and end the situation of mistrust and doubt spreading in public.","Here, there is no importance of insulting personal values ​​because when it is about mother and motherland, then no small thing is seen.",none
70,1471,Both twinkle eyes were removed!,An attempt was made 😡  👉  to destroy or undetect Twinkle's body by # acid burn!,Two-and-a-half-year-old Twinkle was also raped!,oppression
71,1472,"Thus, the strength of jihadis is in the confusion about their views and policies etc.","The common Muslim is also confused about basic Islamic principles, having a very narrow view of Islamic rule, history, humanity and Sharia etc.",and being the only right community of its own.,culture
72,1473,"But due to his misfortune, the judiciary put a hitch in it.",The Government of India established the Ranganathmishra Commission to remove that bottleneck.,"This commission, while completing its assigned work, has recommended that even the converted people, who have become Muslims or Christians, should be given reservation on the basis of caste.",none
73,1474,"And * Whenever we talk about awakening Hindus, tell the truth, some people call us Rashtriya Swayamsevak Sangh, Vishwa Hindu Parishad and Shiv-Sena, Bharatiya Janata Party!","* Please take a few moments out of busy times Must read the tax message * Who is 🚩  😡  a Muslim in India * Must read the last part of the message only 😡 🚩   then it will understand the whole meaning * In the name of religion, 🚩  😡  he made pieces of India - * He was a Jinnah Muslim.",* Shed 🚩  😡  the blood of crores of Hindus who - * every Sultan was a 🚩  😡  Muslim.,none
74,1475,"When the minorities have equal rights as the original Indian majority, then why is their bigotry being instigated by giving them privileges in the name of minority.",Religious minorityism is digging the roots of a secular country.,"At the same time, it also incites religious discrimination, disharmony and communalism.",none
75,1476,"Almost the same is said in verse 3 that even in the verse 24, ""except the Muslims of Ima Do not befriend Kafir.",”More than 150 verses of the Quran provoke Muslims towards non-Muslims.,"In 1949, two activists of the Hindu Mahasabha printed a sheet of 24 imports of the Quran.",culture
76,1477,He was born on 29 January 1904 in British Bengal.,He was one of the births of Pakistan.,"Ever since he was elected to the Calcutta Municipal Corporation in 1940, he helped the Muslim community immensely.",none
77,1478,"Salman Khan Shahrukh Khan Aamir Many names like Khan Saif Ali Khan Naseeruddin Shah Farhan Akhtar Nawazuddin Siddiqui Fawad Khan have been ""guaranteed"" for ""success"" in ""Hindi films"".","""Filmmakers"" like Akshay Kumar Ajay Devgan Sunny Deol Hrithik Roshan Ranveer Kapoor * are the ""thorns of the eye"" of these poor *.","""Talented actresses"" such as Tabu, Huma Qureshi, Soha Ali Khan, and Zarine Khan, were forcibly ""finished"" ... because, they are Muslims ... and the Islamic puppets, their ""work.""",none
78,1479,Thousands of Hindu women consumed themselves by burning themselves in the flame of Jauhar to protect them from these Muslim rapists.,"At the same time, the practice of purdah started to protect the Hindu women of India-year-old nature-daughter who were once free from the sight of Muslim soldiers.",Such a disgusting form of oppression and rape of women did not appear even during the British East India Company from the early 17th century until 1947.,none
79,1480,They used to unite only for the goods found in jihad.,"Then they used to fight again on something or the other, the Shia Sunni dispute is a proof of this.",Muhammed's son-in-law Hazrat Ali wrote a letter to Mu'awiya in a Hindi and English translation with Arabic.,none
80,1481,The accused youths sent pornographic videos to her husband.,This broke the woman's marriage and her husband left her home.,"On Sunday evening, a panchayat was held at the residence of the village head with the family of the girl and the family of the accused youth.",none
81,1482,"The police administration remained unaware, as all the accused are from the so-called minority society and all are from the Trinamool Congress party headed by Ms. Mamta Banu.",There are allegations on Hindu society that they supported the BJP in the elections.,"In West Bengal, political violence has already been at the peak.",none
82,1483,This made the Muslims of Delhi angry.,"In return for this help, the Marathas got the right to collect Chauth and Sardeshmukhi from all over South India.",The Hindu heroes of Malwa sent prayers under the leadership of Jai Singh to liberate the Marathas from the rule of the Mughals because in that period only Maratha power could liberate the country from Mughal terror.,none
83,1484,"I would like to say Jai Jai of unbroken India while climbing Fasi, Mother India.",I am sad that I could serve you as much.,Now you think yourself and if you come to your heart then keep abusing them.,none
84,1485,"After this, as soon as a Muslim leader becomes an MLA and MP, the Muslim starts a jihad to eradicate Hindus along with the public * Because Muslim is on any post… Its first and last task is to eradicate non-Muslims.",* Because * This is what is written in the Quran and it is said that they get Jannat and Hurray.,* On the day Muslims in their area reach this level of Jihad where their people are MLAs or MPs.,culture
85,1486,"If there is any persecution of Muslims by any non-Muslim anywhere in the world, then Muslims from all over the world stand up!","If a Christian is persecuted even by non-Christians, then all Christians stand up!","In order to make the whole world Jesus Christ, in the last two thousand years, in order to make the whole world Islamic, the Muslims have captured so many areas of the earth in the last fourteen hundred years and how much of the land the Hindus lost, Please see my Hindu brothers?",action
86,1487,..... which seems to be the next phase of that first experiment of Chishti's key ... whose foundation was laid by Chishti many centuries ago ....!,"And, that is why …… every Pakistani and Muslim is very keen to go there… .maybe because by doing this he thanks his ancestors for laying the foundation of Muslim sect in India.","And, maybe .... Hindu secular too ...... keep going there to prove themselves Varnasankar (Dogla) ......",none
87,1488,"Just as the devil is stoned in Mecca Medina, similarly these mentally deformed jihadists… want to earn mercy by throwing stones at the army / paramilitary forces Sometimes the police also become victims of this because of supporting the infidels.","In spite of Urdu being spoken by only 1% of the public, Urdu has been imposed as the official language on the religious basis on the whole population.",Uttar Pradesh has a district Allahabad with a population of about 60 lakhs and 10 districts have been made in Kashmir on a mere 69 lakhs population to take more budget.,oppression
88,1489,Any Muslim who will make them his friend will be among those people.,"Of course, Allah does not show the way to such Muslims 18) (Sura 9 At-Tauba: verse 29) - Fight with such kafirs (people of other religions) who do not trust Allah and destroy the Rasool of Allah and where They are also ruling them out of power.","And where you are ruling, collect Jizya from the Kafiro 19) (Sura 4 An-Nisa: verse 8) - The unrighteous (everyone who does not celebrate Allah) people want all Muslims to become unrighteous.",none
89,1490,Patrimony is amazing in increasing the number of women who laboriously cooperate even in such circumstances.,How are parents who do not care about the future of children?,Why don't they do any planning?,culture
90,1491,Human rights organizations here have taken the form of terrorist / jihadi rights organizations.,If you are from Jammu / Ladakh or you are Hindu / Sikh / Shia then no one will talk about the equitable sharing of your authority and budget.,"But if you are a Kashmiri Sunni and a lot of water fell while plowing the field, then Amnesty International / UN and other human rights cookers will force the government to get rid of the Kukermutta newspaper / media / article.",culture
91,1492,"... and Saif Ali Khan's Wives - ""Amrita Singh / Kareena Kapoor"" are both Hindus.","Nawab Pataudi too, married Hindu girl ""Sharmila Tagore"".","Farhan Akhtar's wife - ""Adhuna Bhavani"" ... and Farhan Azmi's wife, ""Ayesha Takia"" ""Is also Hindu.",none
92,1493,"In one place, it has been said to send a curse on the Jews by telling them to commit the worship of graves.","Then in another place it is right to build the tomb of Allah, as it is said in the Quran, the 5-dog tomb is the surah of the Quran.","One incident in the interpretation mentions that when the emperor called ""Decius-Decius"" in Rome It was then that some followers of Jesus hid in a cave to save his life.",none
93,1494,"If not, why is this happening in Mewat?","The Al-Aafiya General Hospital in Mandikheda, which is built by the Sultan of Oman after his daughter, is also completely Islamic in style.",The question arises as to why a hospital building was constructed in Islamic style?,none
94,1495,It is written in the Quran that the biggest crime in the world is to worship someone other than Allah and Mohammed.,"Therefore, other heinous crimes like rape, murder, etc.",are minor compared to not believing in Islam.,oppression
95,1496,"Even the people of Bengal were living in this deception till today, when they are coming in the hands of the riots, now they are lying vacant.","By the way, the Hindu com was like this now, it was not there before, everyone knew what it was like, but due to the swarth he was able to harm himself, but in the end he was where he was supposed to be.",But the present day Hindus are such that one thing has been inserted in the mind for the last 70 years and that is secularism.,none
96,1497,If you still do not show unity then be ready to fade away!,"If your soul says, then send this message to at least 10 people and cooperate in building Hindu nation!","Some people will not even share it away or read it, this is also a truth!",action
97,1498,Will end the defamation law.,"That means, no matter how much the family hurts mud, but you cannot sue them.",The election this time is between Kashi and Wayanad's agenda.,none
98,1499,", Their leader Altaf Hussain abuses the Pakistani Army by sitting in London.",# * * Will you teach us?,* * Patience?,none
99,1500,He wreaked havoc on Hindus with Tipu.,This was to follow the core of Islamic imperialism.,Under which the duty of one Muslim to always cooperate in the name of Islam of another Muslim is moral duty.,culture
100,1501,"Vikram Samvat 1585 🔥  and after deducting 57 years from Vikram Samvat, AD 1528 comes.)",* * Shri Tulsidas Ji It 👉 📝  🏿   is said that Samvat 1585 Vikrami (AD 1528) supposedly committed an indescribable misery in the summer months in Awadh.,(Undescribable).,none
101,1502,Zindagi ❌  cut to beg?,Was it necessary to read the Quran while staying in ❌  the mosque?,What was the need to do goat halal?,action
102,1503,"According to the news, there have been 6 serial blasts in Sri Lanka in which over 100 people have died and more than 400 people have been injured.",The figure of the dead is constantly increasing.,"According to reports, in Sri Lanka, there have been blasts in 5 churches in Batticaloba, Nagombo and Colombo, while 3 hotels including Hotel Shangrila and Kingsbury.",oppression
103,1504,"Anyway, in many intelligence reports, AMU has been described as a laboratory of terrorism, where in the name of education, only religious fundamentalism and terror are taught.","- The time has come that if all the Hindus unite and do not make Modi ji prime minister again in 2019, if the Congress comes to power, India will be made the second Taliban in the world.",- We appeal to those liberal Muslim brothers that you do not come in contact with traitors like Salman Imtiaz and support Modiji,none
104,1505,* Ram temple was built and mosque built - * Babur 🚩  😡  was a Muslim.,* He beheaded Guru Tegh Bahadur who was 🚩  😡  an * Aurangzeb Muslim.,* A massacre of Pandits in Kashmir who 🚩  😡  - * He was a terrorist Muslim || * The bomb blasts in Mumbai - who 🚩  😡  was a Dawood Muslim.,none
105,1506,And these 🤝  poor people are leaving 🚩  their 🇳  🇮  🚩  home and 🇳 👇 👇 👇  👇   👇   👇   🇮  running away!,"* * When and where are you said, * Get together and fight * यJay Shri Ram 🚩India's mother Jay 👇👇👇👇👇👇",,action
106,1507,"_ _ The biggest question that arises is what do we do, M I believe.","_ * We can do a lot from home as well, the biggest thing is to boycott the Muslim community as much as possible * * Not even a Muslim gets a penny of our earnings, it is in our country's interest. . * * The second biggest thing we can do is to stop hiding black money.",* We can fill the government coffers even more by putting money in government schemes or curbing corruption.,action
107,1508,It would be fair to say that it is not Tehzeeb (culture) but Takhrib (تخريب).,Muslims are fraudulently deceiving the people by calling Ganga a symbol of Hindu and Jamuna as a symbol of Muslims.,"It is said that as Ganga and Jamuna unite, in the same way Hindu Muslims together build Gangajamuni Tehzeeb.",culture
108,1509,* * Has any Congressman said anything ??,"* * Some SP, Has the BSP or any other political party said anything ??","* * An army of intellectual rapists and petticoat journalists who have read in court the honor of Imran Khan and have been given Nobel Prizes, have raided or said anything ??",none
109,1510,"* It is true that nationalism is not built on the basis of religion, but it is a fact that wherever Muslims or Christians became majority after conversion 🏹 🙏 🔥   🌷   🌞  🔱  ⛳  🐚  🕉  in India, their The attitude towards India also changed.","Pakistan, Bangladesh, Kashmir, Nagaland, Mizoram are examples of this.","* The whole world used to say that Islam spread with the sword, the guards of Islam could never deny it.",none
110,1511,"* Example-7 * When the mistakes of Muslims are caught, they start telling the same mistakes in the distances to prove themselves 🤬  ♨  innocent, and abusive to mislead people, they make a ruckus to press.","They do violence, etc.",".... हमें 🏻  👇 🔥   * We should beware of these trickery, 🏻  👇  flies and fraud of Muslims.",oppression
111,1512,"The government was in jail, sensing the wind, released Virathu ji from jail after 10 years and declared that Muslims cannot be residents of this country, they should leave the country and the special thing was that even after going to jail, it was Not deterred, and as soon as he gets out of jail, the only program will remain Buddhist in this country.",The whole country became empty overnight.,"All these terrorist organizations of Pakistan were giving backup to these people, terrorists from outside also used to fight but all failed Buddhists won.",none
112,1513,"* * For us, Chandragupta, who established the first great empire on the land of India, was not great.","* * Barbarians who cut millions of Hindus in one of their invasions Skandagupta, who prevented the Hunas with his muscle power, was not great for us.","* * We do not know the name of Nagabhatta, who had freed the barbarous Arabs from entering India by his valor.",oppression
113,1514,The Indian kings never struggled to allow the Mughal Empire to settle down.,-Published with the wall of Pushpendra Kulshrestha,India is threatened by Hindus more than Lashkar - To whom was this statement made to please ???,none
114,1515,"Similarly, boy's hairstyles and clothes are also changed.",The trouble in this is that the feeling of a star is administered to a small child.,"But when that child goes away from the limelight and does not get such a starring feeling, such clothes and such hairstyle and such fame and such praise, then it is natural to have depression.",none
115,1516,●) who also marries in close siblings (children of Adam).,●) Forced to marry and rape women caught in war.,● Muslims who cannot even make their gender properly due to which they have to cut their penis.,oppression
116,1517,"The fact of the matter is that there is no justice ➡  in Pakistan, nor is the rule of law the Hindus are worried.",There are similar situations in East Pakistan as well as in West Pakistan.,After partition in West Punjab ➡  A large number of those who were 1 lakh backward caste have been converted ➡  to Islam by force.,none
117,1518,The second biggest thing we can do is stop hiding black money.,"By investing money in government schemes or by curbing corruption a little, we can fill the coffers of the government even more.","Its effect will be that in the future if the country faces an Islamic crisis, the government and the army will not have to face the World Bank or IMF.",action
118,1519,This is the reward of unbelievers.,Koran 2: 191 Do not let believers in preference to disbelief for their friends.,Koran 3:28 Those who believe fight for the cause of Allah; And those who disbelieve fight because of idols.,action
119,1520,"Because the testimony of Mu Salman was valid in Qazi, therefore Hindus used to take Mu Salmano for testimony by paying money.)","(The above written to most Hindus It is also known, and it is also remembered correctly in pieces.",Then what happens to us on the day of voting?,none
120,1521,Many times the women fled with the Muslims.,Many Muslims worship Ash after the expulsion when Kafirs are not at home during the day.,Eats goods and also carries money.,culture
121,1522,".. Four and a half million people were banished from their homes in Kashmir, they are living witnesses to this fear ... That day I am scared, all scared but you are not scared.","I was scared but not scared, in Ayodhya on 2 November 1990, when the Ramabhakas were fired upon by helicopters in their own country, the stream of Saryu was reddened by the blood of Hindus ..","I was afraid when months later Till, the corpse stuffed in gunny bags sacked by the devotees of Ramabhakta… continued to meet the river Saryu… I was scared but you were not scared.",oppression
122,1523,"At some time after midnight on 21 July 2019, farmer Naresh Saini was cut and killed in his field at Barwala village in Hisar district, Haryana.","Saini's two buffalo and a calf were missing, leading to the suspicion of killing the cattle thieves.","Another farmer named Indrapal Bishnoi was shot dead a year ago by animal thieves in Sahu village, a total of 10 km from Barwala.",oppression
123,1524,"* * Imran has not done any favor on Sikhs or India, as Indus Sutiya is speaking.","Sindhu has to become CM, Captain has to be removed, so all this drama is going on to get free fame so that its image can shine in the learners.",* * Ask Sindhu 84 victims of justice you could not get your party from top to bottom 84 Was involved in violence.,none
124,1525,(Arge; 18.7.2004) India's Hindus will soon be like the Yazidis of Iraq.,"In India, about 42,000 children are born every day.","Of these, about 21,000 Muslim children, while Hindus have about 20,000 children.",none
125,1526,They are being burnt.,Their organs are being fed to dogs.,They are being sold.,oppression
126,1527,"Rich in precious gems like oil, oil, natural gas and other mineral resources, this country has been going through a period of turmoil.",The military regime here is maintaining a constant presence.,"Even after the end of military rule, political parties are full of military officers.",none
127,1528,"* * Example - When Muslims If mistakes are found, then he starts telling the same mistakes in the distance to prove himself innocent, and abuses people to mislead, make ruckus, pressure, violence etc.","* * We should beware of these tricks, flies and fraud of Muslims.",Because Allah is also a crafty.,action
128,1529,* * (23) hates the kafirs so much that the stone prepares for them * * (24) misleads the infidels themselves and punishes themselves.,"* * (25) Putting the stamps on the hearts and ears of the teachers themselves, spares them forever.","* ((24) At least five times a day, the maulvi's bang (Azan) listens with great grief.",action
129,1530,# Two-nation theory Many strong supporters of this theory have been many strong opponents.,Hindus oppose it because this doctrine divided India and Muslims oppose it because this doctrine divided the Muslim population.,"But Vinayak Damodar Savarkar, Bhimrao Ambedkar, Mohammed Ali Jinnah, who invented this two-nation theory, were not the only people who supported the two-nation theory.",culture
130,1531,Our and their colleagues together silenced them and then I asked them - what is the solution?,This time he is silent !!!!!,",,,, what I said to all the villagers present there, I am also telling you all the nationalists: whether someone says that resources are decreasing, some say Sikhs are decreasing , Some say Hindus are decreasing, some say that Jains or Buddhists are decreasing or that Muslims are increasing their population by willful,,,,,, but I say that the country is under the circumstances of civil war due to population explosion.",none
131,1532,"“King Dahir, his nephews, his warriors and high officials have been killed and the Kafirs have either been confessed to Islam or have been killed!",Mosques and other prayers have been made in place of idols temples!,"Khutba is read, azaan is offered, so that namaz can be done at the right time!",none
132,1533,On the other hand they sat on hunger for those who were committing violence… Was it not violence ..,There is no need for the Hindu deportees to live in Delhi under the guise of non-violent terrorism.,"There was no system, the worst thing was that Hindus took refuge in the mosques lying vacant in Delhi, then Gandhi said in a speech from Birla Bhavan that the Delhi Police My command is that Hindus should not have any say in such things as mosques.",action
133,1534,Shadab strangles him to death.,He cuts the child in pieces and throws it in a bundle tied in a bundle.,Shabad is under police custody ..,oppression
134,1535,"Moon stars are heavy on three colors, you teach, why do you teach Bharat Mata ki Jai?","A simple civilization is a sacred culture Hindu, you call it a terrorist, cow foster guest is also a nurturer of the bhava, a saint.","We are the descendants of that Raghav, whose dignity is known.",culture
135,1536,"touba 32 يا أيها النبي حرض المؤمنين على القتال إن يكن منكم عشرون صابرون يغلبوا مائتين وإن يكن منكم مائة يغلبوا ألفا من الذين كفروا بأنهم قوم لا يفقهون [8:65] O Messenger You bent for the sake of jihad Mominin (he does not panic God promises them that) If there are twenty of you who have proven steps, then they will go wrong on two hundred (infidels) and if you are hundred of those who have proven steps, then there will be a hundred thousand (infidels).",Will go because of this that these people do not understand.,"anfal 65 more proof will be given if needed = Mahendrapal Arya = 18/2/19 * To join the Sanatan Dharmakshak Samiti and give your service, contact us by following the link given below .. * 👉🏻 https: // api .whatsapp.com / send?",none
136,1537,But after doing that duty ....... which he has received from that book i.e.,after killing Nonmuslim.,22 children have also been killed in this explosion .. this is Islam ..,oppression
137,1538,"The Hindus there do not get any kind of justice or rights, but 🚩  the land of Hindus was forcefully suppressed.",लड़कियोंHindu girls are abducted and raped.,"The houses and shops of Hindus are burnt, property is seized, intelligent Hindu students of the school are killed.",oppression
138,1539,After which the family members of those girls joined hands with everyone for their return but no country has taken any drastic step till their return home.,No human rights organization did anything for him.,Every day the Muslim community is killing people on a large scale like what happened in the New Zealand incident.,none
139,1540,"Those women replied ... What should we tell you, what has happened to us?",We do not even know how many people have raped us ... all their bodies had knives on them.,"The ""gift of freedom"", the places where people refused to go, naked visits (dhinds) of Hindu women were taken out, their markets were decorated and their bids were bought and sold like slaves in Delhi after 1947.",oppression
140,1541,Bodies were murdered and thrown into the river.,* *> 1990 Kashmir: Faristo stormed into Sohan Lal Baru's house and gang-raped his wife Vimala and little girl Archana in front of him.,After that Sohan Lal and his wife were shot.,oppression
141,1542,After which the family members of those girls joined hands with everyone for their return but no country has taken any drastic step till their return home.,* No human rights organization did anything for them.,* Every day the Muslim community is killing people on a large scale like what happened in the New Zealand incident.,none
142,1543,"I came to know from Ramayana that I could not find answers to the truths, I found it in Ramayan Ji….","Why do these people try to prove Ramayana and Mahabharata false by calling Ram, Krishna imaginary?","You must have seen Muslim brothers and their religious guru… Ram, trying to prove Ramayana and Mahabharata false by calling Krishna hypothetical .. Christians and secular people are also not behind in this… Why is it that people have to be troubled by them?",none
143,1544,"But when Pakistan was formed, very few Muslims here went to Pakistan.",But now it seems that these people are starting to make Mewat the 'Pakistan'.,The same thing comes from the investigation of the ongoing activities in Mewat region of Haryana.,none
144,1545,"On the night of 23 March 2003, * Lashkar-e-Taiba 👉  militants * entered the village and at that time * 24 people available in the village were shot in line.",* * Among the casualties from 2-year-olds to 65 The elders of the year were also involved.,* The dead bodies were also mutilated after being shot.,oppression
145,1546,🌀3👉 Girls of Muslims do not 🌀 👉   look with eyes.,Shahrukh of Hindus is stuck on Salman.,"👉4👉 Muslim produces 10-15 children, Hindu 🌀 👉   2 children.",none
146,1547,Minorities also have special rights in education loan system.,"For professional education, only 4% (for students) and 2% (for girls) are given loans of 20 lakhs in the country and 30 lakhs abroad.","Apart from this, minority youth are given special benefits under the Vocational Training Scheme, Marketing Assistance Scheme, Mahila Samridhi Yojana and Grant in Aid Assistance scheme etc.",none
147,1548,How will the security of the minority Hindus staying in Pakistan be safe?,* * Hindu Kafir is not worthy of respect for Muslims.,The Muslim sentiment is only for Muslims.,culture
148,1549,🚩 These attacks are the unity 😡  😠  😡  of India.,A direct attack on integrity.,Such a big attack cannot 🚩  happen without the help of hidden caves in the house.,none
149,1550,* Administrator ✊ 🚩   👿  Committee * 🏿 🇰  🇵   ✋  ✊🚩 * We will fulfill निभ- Promise ⚫ 🛑 🛑  🛑 👿    🛑   ⚫  🛑 🏿 🇰  🇵   ✋   🛑  🛑  🛑  to cut India into pieces 👿  * * We 🇵 🇰   🏿  ✋  will fulfill ✋🏿🇵🇰- Promise to settle 👿  Rohingya 🇰  🇵  🏿  ✋  in India * * We will 😳  fulfill वादा- 🇰  🇵  🏿  ✋  Promise of separate PM in Kashmir Peo Go Killing 🤢  Promise 🇰  🇵  🏿  ✋  * We will fulfill our promise to 👿  divide the 🏿 🇰  🇵   ✋  Hindus by casteism * We will fulfill our promise 😡  to carry ✋ 🇵 🇰   🏿   the flag of Pakistan at every crossroads.,"7- We will fulfill 👿  the promise 🇰  🇵  🏿  ✋  of weakening the heroic army, air and naval forces of India.","* We 😡  will fulfill 🇰  🇵  🏿  ✋  the promise of giving Bharat Ratna to Hafiz, 😡  Azhar, 🇵 🇰   🏿  ✋  Afzal and Jakheer Naik.",oppression
150,1551,"Seeing the Urdu degrees of Lele-Bebe, do not even give them the job of a janitor ...","They can make a family of two and a half times larger than the normal family, irrespective of the army of their children.",Make punchers on the shore or eat abuses at mistry shops….,oppression
151,1552,"At the last 😞  time, his well-known Muslim Chachazan, etc., had also come ..","But dying for the last time, he saw with sleepy eyes that the neighboring Muslims were also picking up the ornaments of the house 👉  .... * The story was over .... everything was over * (Now tell me how Kashmiri Hindus are fighting ..?","They cannot keep weapons, Muslims got AK47, terrorists from Pakistan… but Hindus had 👿  👉  nothing ..? )",none
152,1553,Belgium first called migrant workers from Morocco and Turkey and later from Algeria and Tunisia until 1974.,"With time, he was allowed to bring his family to Belgium.","From 1960, Muslims started coming from nearby Muslim countries.",none
153,1554,and being the only right community of its own.,It is only through those illusions that jihadis get power.,"When the independent world abandons the hope of an easy solution and understands the science of Islamic behavior, Jihadi terrorism will end forever from the same day.",culture
154,1555,"~ Rather, the writers living with these Sultans themselves walked their pen with great pride and very proudly described their masters to teach lessons to the Kafirs.","~ By clicking on some links of Google, you will get to know in detail about the ""heart-wrenching"" atrocities on Hindus and Hindu women.",That too with full evidence.,action
155,1556,"Opindia Staff 29TH MARCH 2019 Symbolical Picture Social Meter 4 In Solan district of Himachal Pradesh, the case of marriage of a Hindu girl from a married person of another community is going on.","According to the news, the girl has been missing for the last 3 days, so far no clue can be found.","Due to this, the atmosphere of tension in the village has become such that people set the young man's house on fire, after which the police reached the opportunity and got a large number of police force and sealed the entire village.",none
